"Site" "refs" "size"
"515" "Pasi_Gusung_North_nonreserve2" "1" -7.4
"516" "Pasi_Gusung_North_nonreserve2" "1" -7.3
"517" "Pasi_Gusung_North_nonreserve2" "1" -7.2
"518" "Pasi_Gusung_North_nonreserve2" "1" -7.1
"519" "Pasi_Gusung_North_nonreserve2" "1" -7
"520" "Pasi_Gusung_North_nonreserve2" "1" -6.9
"521" "Pasi_Gusung_North_nonreserve2" "1" -6.8
"522" "Pasi_Gusung_North_nonreserve2" "1" -6.7
"523" "Pasi_Gusung_North_nonreserve2" "1" -6.6
"524" "Pasi_Gusung_North_nonreserve2" "1" -6.5
"525" "Pasi_Gusung_North_nonreserve2" "1" -6.4
"526" "Pasi_Gusung_North_nonreserve2" "1" -6.3
"527" "Pasi_Gusung_North_nonreserve2" "1" -6.2
"528" "Pasi_Gusung_North_nonreserve2" "1" -6.1
"529" "Pasi_Gusung_North_nonreserve2" "1" -6
"530" "Pasi_Gusung_North_nonreserve2" "1" -5.9
"531" "Pasi_Gusung_North_nonreserve2" "1" -5.8
"532" "Pasi_Gusung_North_nonreserve2" "1" -5.7
"533" "Pasi_Gusung_North_nonreserve2" "1" -5.6
"534" "Pasi_Gusung_North_nonreserve2" "1" -5.5
"535" "Pasi_Gusung_North_nonreserve2" "1" -5.4
"536" "Pasi_Gusung_North_nonreserve2" "1" -5.3
"537" "Pasi_Gusung_North_nonreserve2" "1" -5.2
"538" "Pasi_Gusung_North_nonreserve2" "1" -5.1
"539" "Pasi_Gusung_North_nonreserve2" "1" -5
"540" "Pasi_Gusung_North_nonreserve2" "1" -4.9
"541" "Pasi_Gusung_North_nonreserve2" "1" -4.8
"542" "Pasi_Gusung_North_nonreserve2" "1" -4.7
"543" "Pasi_Gusung_North_nonreserve2" "1" -4.6
"544" "Pasi_Gusung_North_nonreserve2" "1" -4.5
"545" "Pasi_Gusung_North_nonreserve2" "1" -4.4
"546" "Pasi_Gusung_North_nonreserve2" "1" -4.3
"547" "Pasi_Gusung_North_nonreserve2" "1" -4.2
"548" "Pasi_Gusung_North_nonreserve2" "1" -4.1
"549" "Pasi_Gusung_North_nonreserve2" "1" -4
"550" "Pasi_Gusung_North_nonreserve2" "1" -3.9
"551" "Pasi_Gusung_North_nonreserve2" "1" -3.8
"552" "Pasi_Gusung_North_nonreserve2" "1" -3.7
"553" "Pasi_Gusung_North_nonreserve2" "1" -3.6
"554" "Pasi_Gusung_North_nonreserve2" "1" -3.5
"555" "Pasi_Gusung_North_nonreserve2" "1" -3.4
"556" "Pasi_Gusung_North_nonreserve2" "1" -3.3
"557" "Pasi_Gusung_North_nonreserve2" "1" -3.2
"558" "Pasi_Gusung_North_nonreserve2" "1" -3.1
"559" "Pasi_Gusung_North_nonreserve2" "1" -3
"560" "Pasi_Gusung_North_nonreserve2" "1" -2.9
"561" "Pasi_Gusung_North_nonreserve2" "1" -2.8
"562" "Pasi_Gusung_North_nonreserve2" "1" -2.7
